a,b,c,d,e,f
Tom11,na,3,Vivien3,Off,8
Score,,0,,,4
,,,,,
Game ID: ,1027,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Alex2,Off,3
Tom11,na,3,Sherman12,Def,5
Martin16,Off,6,Michael7,na,8
Jonathan5,Def,9,Khoman 6,Def,6
Jeffrey1,Off,7,Jessica10,Off,7
Jose15,Def,8,Ryan18,na,5
Frank8,Off,9,Marcus17,Def,4
Chris20,Def,3,John4,Off,4
Score,,5,,,0
,,,,,
Game ID: ,1028,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Alex2,Off,3
Tom11,na,3,Sherman12,Def,5
Martin16,Off,6,Michael7,na,8
Jonathan5,Def,9,Khoman 6,Def,6
Jeffrey1,Off,7,Jessica10,Off,7
Jose15,Def,8,Ryan18,na,5
Frank8,Off,9,Marcus17,Def,4
Chris20,Def,3,John4,Off,4
Score,,3,,,0
,,,,,
Game ID: ,1029,,,,
player id,position,Rating,player id,position,Rating
Jeffrey1,Off,7,Sherman12,Def,5
Jose15,Def,8,Khoman 6,Def,6
Jessica10,Off,7,John4,Off,4
Marcus17,Def,4,Danny19,na,9
Frank8,Off,9,Tom11,na,3
Karen13,Def,7,Michael7,na,8
Joeseph9,Def,7,Ryan18,na,5
Score,,2,,,0
,,,,,
Game ID: ,1030,,,,
player id,position,Rating,player id,position,Rating
Jeffrey1,Off,7,Sherman12,Def,5
Jose15,Def,8,Khoman 6,Def,6
Jessica10,Off,7,John4,Off,4
Marcus17,Def,4,Danny19,na,9
Frank8,Off,9,Tom11,na,3
Karen13,Def,7,Michael7,na,8
Joeseph9,Def,7,Ryan18,na,5
Score,,3,,,0
,,,,,
Game ID: ,1031,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Tom11,na,3
Michael7,na,8,Vivien3,Off,8
Jeffrey1,Off,7,Max14,Off,5
Joeseph9,Def,7,Chris20,Def,3
Karen13,Def,7,,,
Score,,7,,,0
,,,,,
Game ID: ,1032,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Tom11,na,3
Michael7,na,8,Vivien3,Off,8
Jeffrey1,Off,7,Max14,Off,5
Joeseph9,Def,7,Chris20,Def,3
Karen13,Def,7,,,
Score,,7,,,0
,,,,,
Game ID: ,1033,,,,
player id,position,Rating,player id,position,Rating
Khoman 6,Def,6,Ryan18,na,5
Martin16,Off,6,Marcus17,Def,4
Sherman12,Def,5,Michael7,na,8
Alex2,Off,3,Chris20,Def,3
Joeseph9,Def,7,Max14,Off,5
Score,,0,,,1
,,,,,
Game ID: ,1034,,,,
player id,position,Rating,player id,position,Rating
Khoman 6,Def,6,Ryan18,na,5
Martin16,Off,6,Marcus17,Def,4
Sherman12,Def,5,Michael7,na,8
Alex2,Off,3,Chris20,Def,3
Joeseph9,Def,7,Max14,Off,5
Score,,1,,,0
,,,,,
Game ID: ,1035,,,,
player id,position,Rating,player id,position,Rating
John4,Off,4,Vivien3,Off,8
Ryan18,na,5,Martin16,Off,6
Michael7,na,8,Jonathan5,Def,9
Jose15,Def,8,Chris20,Def,3
Alex2,Off,3,,,
Score,,2,,,0
,,,,,
Game ID: ,1036,,,,
player id,position,Rating,player id,position,Rating
John4,Off,4,Vivien3,Off,8
Ryan18,na,5,Martin16,Off,6
Michael7,na,8,Jonathan5,Def,9
Jose15,Def,8,Chris20,Def,3
Alex2,Off,3,,,
Score,,1,,,0
,,,,,
Game ID: ,1037,,,,
player id,position,Rating,player id,position,Rating
Jose15,Def,8,Max14,Off,5
Alex2,Off,3,Michael7,na,8
Marcus17,Def,4,Chris20,Def,3
Jessica10,Off,7,John4,Off,4
Danny19,na,9,Karen13,Def,7
Joeseph9,Def,7,Sherman12,Def,5
Score,,3,,,0
,,,,,
Game ID: ,1038,,,,
player id,position,Rating,player id,position,Rating
Jose15,Def,8,Max14,Off,5
Alex2,Off,3,Michael7,na,8
Marcus17,Def,4,Chris20,Def,3
Jessica10,Off,7,John4,Off,4
Danny19,na,9,Karen13,Def,7
Joeseph9,Def,7,Sherman12,Def,5
Score,,2,,,0
,,,,,
Game ID: ,1039,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Marcus17,Def,4
Max14,Off,5,Alex2,Off,3
Jonathan5,Def,9,Sherman12,Def,5
Frank8,Off,9,Danny19,na,9
Karen13,Def,7,Michael7,na,8
John4,Off,4,Martin16,Off,6
Joeseph9,Def,7,Chris20,Def,3
Khoman 6,Def,6,Jeffrey1,Off,7
Score,,2,,,0
,,,,,
Game ID: ,1040,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Marcus17,Def,4
Max14,Off,5,Alex2,Off,3
Jonathan5,Def,9,Sherman12,Def,5
Frank8,Off,9,Danny19,na,9
Karen13,Def,7,Michael7,na,8
John4,Off,4,Martin16,Off,6
Joeseph9,Def,7,Chris20,Def,3
Khoman 6,Def,6,Jeffrey1,Off,7
Score,,2,,,0
,,,,,
Game ID: ,1041,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Jonathan5,Def,9
Sherman12,Def,5,Michael7,na,8
Vivien3,Off,8,Danny19,na,9
Jessica10,Off,7,Ryan18,na,5
Jose15,Def,8,Frank8,Off,9
Score,,0,,,2
,,,,,
Game ID: ,1042,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Jonathan5,Def,9
Sherman12,Def,5,Michael7,na,8
Vivien3,Off,8,Danny19,na,9
Jessica10,Off,7,Ryan18,na,5
Jose15,Def,8,Frank8,Off,9
Score,,0,,,2
,,,,,
Game ID: ,1043,,,,
player id,position,Rating,player id,position,Rating
Jonathan5,Def,9,Sherman12,Def,5
Max14,Off,5,Ryan18,na,5
Khoman 6,Def,6,Martin16,Off,6
Jessica10,Off,7,Jose15,Def,8
Score,,2,,,0
,,,,,
Game ID: ,1044,,,,
player id,position,Rating,player id,position,Rating
Jonathan5,Def,9,Sherman12,Def,5
Max14,Off,5,Ryan18,na,5
Khoman 6,Def,6,Martin16,Off,6
Jessica10,Off,7,Jose15,Def,8
Score,,2,,,0
,,,,,
Game ID: ,1045,,,,
player id,position,Rating,player id,position,Rating
Jonathan5,Def,9,Michael7,na,8
Danny19,na,9,Sherman12,Def,5
John4,Off,4,Vivien3,Off,8
Tom11,na,3,Jeffrey1,Off,7
Max14,Off,5,Jessica10,Off,7
Khoman 6,Def,6,Ryan18,na,5
Frank8,Off,9,Karen13,Def,7
Marcus17,Def,4,Joeseph9,Def,7
Score,,0,,,2
,,,,,
Game ID: ,1046,,,,
player id,position,Rating,player id,position,Rating
Jonathan5,Def,9,Michael7,na,8
Danny19,na,9,Sherman12,Def,5
John4,Off,4,Vivien3,Off,8
Tom11,na,3,Jeffrey1,Off,7
Max14,Off,5,Jessica10,Off,7
Khoman 6,Def,6,Ryan18,na,5
Frank8,Off,9,Karen13,Def,7
Marcus17,Def,4,Joeseph9,Def,7
Score,,0,,,1
,,,,,
Game ID: ,1047,,,,
player id,position,Rating,player id,position,Rating
Khoman 6,Def,6,Karen13,Def,7
Tom11,na,3,Chris20,Def,3
Joeseph9,Def,7,Jose15,Def,8
Alex2,Off,3,Max14,Off,5
Jessica10,Off,7,Martin16,Off,6
Score,,0,,,0
,,,,,
Game ID: ,1048,,,,
player id,position,Rating,player id,position,Rating
Khoman 6,Def,6,Karen13,Def,7
Tom11,na,3,Chris20,Def,3
Joeseph9,Def,7,Jose15,Def,8
Alex2,Off,3,Max14,Off,5
Jessica10,Off,7,Martin16,Off,6
Score,,0,,,1
,,,,,
Game ID: ,1049,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Chris20,Def,3
Marcus17,Def,4,Jose15,Def,8
Jonathan5,Def,9,Karen13,Def,7
Joeseph9,Def,7,Ryan18,na,5
Sherman12,Def,5,Max14,Off,5
Martin16,Off,6,John4,Off,4
Alex2,Off,3,Danny19,na,9
Score,,1,,,0
,,,,,
Game ID: ,1050,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Chris20,Def,3
Marcus17,Def,4,Jose15,Def,8
Jonathan5,Def,9,Karen13,Def,7
Joeseph9,Def,7,Ryan18,na,5
Sherman12,Def,5,Max14,Off,5
Martin16,Off,6,John4,Off,4
Alex2,Off,3,Danny19,na,9
Score,,1,,,0
,,,,,
Game ID: ,1051,,,,
player id,position,Rating,player id,position,Rating
Max14,Off,5,Frank8,Off,9
Martin16,Off,6,Khoman 6,Def,6
Jonathan5,Def,9,Karen13,Def,7
Michael7,na,8,Jeffrey1,Off,7
Tom11,na,3,Vivien3,Off,8
Score,,0,,,1
,,,,,
Game ID: ,1052,,,,
player id,position,Rating,player id,position,Rating
Max14,Off,5,Frank8,Off,9
Martin16,Off,6,Khoman 6,Def,6
Jonathan5,Def,9,Karen13,Def,7
Michael7,na,8,Jeffrey1,Off,7
Tom11,na,3,Vivien3,Off,8
Score,,0,,,2
,,,,,
Game ID: ,1053,,,,
player id,position,Rating,player id,position,Rating
Jose15,Def,8,Khoman 6,Def,6
Chris20,Def,3,Danny19,na,9
Michael7,na,8,John4,Off,4
Max14,Off,5,Alex2,Off,3
Vivien3,Off,8,Jeffrey1,Off,7
Tom11,na,3,Frank8,Off,9
Joeseph9,Def,7,Sherman12,Def,5
Martin16,Off,6,Marcus17,Def,4
Score,,1,,,0
,,,,,
Game ID: ,1054,,,,
player id,position,Rating,player id,position,Rating
Jose15,Def,8,Khoman 6,Def,6
Chris20,Def,3,Danny19,na,9
Michael7,na,8,John4,Off,4
Max14,Off,5,Alex2,Off,3
Vivien3,Off,8,Jeffrey1,Off,7
Tom11,na,3,Frank8,Off,9
Joeseph9,Def,7,Sherman12,Def,5
Martin16,Off,6,Marcus17,Def,4
Score,,0,,,0
,,,,,
Game ID: ,1055,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Alex2,Off,3
Tom11,na,3,Jose15,Def,8
Jeffrey1,Off,7,Michael7,na,8
Vivien3,Off,8,Jessica10,Off,7
Joeseph9,Def,7,Jonathan5,Def,9
Khoman 6,Def,6,Chris20,Def,3
Danny19,na,9,John4,Off,4
Score,,3,,,0
,,,,,
Game ID: ,1056,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Alex2,Off,3
Tom11,na,3,Jose15,Def,8
Jeffrey1,Off,7,Michael7,na,8
Vivien3,Off,8,Jessica10,Off,7
Joeseph9,Def,7,Jonathan5,Def,9
Khoman 6,Def,6,Chris20,Def,3
Danny19,na,9,John4,Off,4
Score,,1,,,0
,,,,,
Game ID: ,1057,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Joeseph9,Def,7
Jessica10,Off,7,Sherman12,Def,5
Khoman 6,Def,6,Vivien3,Off,8
Alex2,Off,3,Danny19,na,9
Martin16,Off,6,Max14,Off,5
Chris20,Def,3,Jonathan5,Def,9
Frank8,Off,9,Jeffrey1,Off,7
Score,,0,,,1
,,,,,
Game ID: ,1058,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Joeseph9,Def,7
Jessica10,Off,7,Sherman12,Def,5
Khoman 6,Def,6,Vivien3,Off,8
Alex2,Off,3,Danny19,na,9
Martin16,Off,6,Max14,Off,5
Chris20,Def,3,Jonathan5,Def,9
Frank8,Off,9,Jeffrey1,Off,7
Score,,0,,,3
,,,,,
Game ID: ,1059,,,,
player id,position,Rating,player id,position,Rating
John4,Off,4,Frank8,Off,9
Marcus17,Def,4,Khoman 6,Def,6
Danny19,na,9,Vivien3,Off,8
Max14,Off,5,Ryan18,na,5
Jose15,Def,8,Joeseph9,Def,7
Alex2,Off,3,Jeffrey1,Off,7
Sherman12,Def,5,Jonathan5,Def,9
Jessica10,Off,7,Chris20,Def,3
Score,,0,,,4
,,,,,
Game ID: ,1060,,,,
player id,position,Rating,player id,position,Rating
John4,Off,4,Frank8,Off,9
Marcus17,Def,4,Khoman 6,Def,6
Danny19,na,9,Vivien3,Off,8
Max14,Off,5,Ryan18,na,5
Jose15,Def,8,Joeseph9,Def,7
Alex2,Off,3,Jeffrey1,Off,7
Sherman12,Def,5,Jonathan5,Def,9
Jessica10,Off,7,Chris20,Def,3
Score,,0,,,2
,,,,,
Game ID: ,1061,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Joeseph9,Def,7
Frank8,Off,9,Vivien3,Off,8
Michael7,na,8,Chris20,Def,3
Jessica10,Off,7,Jonathan5,Def,9
Karen13,Def,7,Ryan18,na,5
Max14,Off,5,Jeffrey1,Off,7
Sherman12,Def,5,Danny19,na,9
Score,,0,,,0
,,,,,
Game ID: ,1062,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Joeseph9,Def,7
Frank8,Off,9,Vivien3,Off,8
Michael7,na,8,Chris20,Def,3
Jessica10,Off,7,Jonathan5,Def,9
Karen13,Def,7,Ryan18,na,5
Max14,Off,5,Jeffrey1,Off,7
Sherman12,Def,5,Danny19,na,9
Score,,0,,,1
,,,,,
Game ID: ,1063,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Max14,Off,5
Frank8,Off,9,Marcus17,Def,4
Khoman 6,Def,6,Joeseph9,Def,7
Jessica10,Off,7,Sherman12,Def,5
Danny19,na,9,Vivien3,Off,8
Ryan18,na,5,Tom11,na,3
Karen13,Def,7,Martin16,Off,6
Jeffrey1,Off,7,John4,Off,4
Score,,1,,,0
,,,,,
Game ID: ,1064,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Max14,Off,5
Frank8,Off,9,Marcus17,Def,4
Khoman 6,Def,6,Joeseph9,Def,7
Jessica10,Off,7,Sherman12,Def,5
Danny19,na,9,Vivien3,Off,8
Ryan18,na,5,Tom11,na,3
Karen13,Def,7,Martin16,Off,6
Jeffrey1,Off,7,John4,Off,4
Score,,3,,,0
,,,,,
Game ID: ,1065,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Alex2,Off,3
Ryan18,na,5,Tom11,na,3
Danny19,na,9,Michael7,na,8
Jessica10,Off,7,Khoman 6,Def,6
Score,,2,,,0
,,,,,
Game ID: ,1066,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Alex2,Off,3
Ryan18,na,5,Tom11,na,3
Danny19,na,9,Michael7,na,8
Jessica10,Off,7,Khoman 6,Def,6
Score,,2,,,0
,,,,,
Game ID: ,1067,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Jeffrey1,Off,7
Karen13,Def,7,Chris20,Def,3
Jessica10,Off,7,Sherman12,Def,5
Ryan18,na,5,Michael7,na,8
Max14,Off,5,John4,Off,4
Score,,2,,,0
,,,,,
Game ID: ,1068,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Jeffrey1,Off,7
Karen13,Def,7,Chris20,Def,3
Jessica10,Off,7,Sherman12,Def,5
Ryan18,na,5,Michael7,na,8
Max14,Off,5,John4,Off,4
Score,,0,,,0
,,,,,
Game ID: ,1069,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Jeffrey1,Off,7
Max14,Off,5,Jonathan5,Def,9
Danny19,na,9,Alex2,Off,3
John4,Off,4,Jessica10,Off,7
Tom11,na,3,Sherman12,Def,5
Score,,0,,,0
,,,,,
Game ID: ,1070,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Jeffrey1,Off,7
Max14,Off,5,Jonathan5,Def,9
Danny19,na,9,Alex2,Off,3
John4,Off,4,Jessica10,Off,7
Tom11,na,3,Sherman12,Def,5
Score,,0,,,1
,,,,,
Game ID: ,1071,,,,
player id,position,Rating,player id,position,Rating
Jose15,Def,8,Khoman 6,Def,6
Max14,Off,5,Jessica10,Off,7
Martin16,Off,6,Danny19,na,9
Sherman12,Def,5,Joeseph9,Def,7
Score,,0,,,2
,,,,,
Game ID: ,1072,,,,
player id,position,Rating,player id,position,Rating
Jose15,Def,8,Khoman 6,Def,6
Max14,Off,5,Jessica10,Off,7
Martin16,Off,6,Danny19,na,9
Sherman12,Def,5,Joeseph9,Def,7
Score,,0,,,3
,,,,,
Game ID: ,1073,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,John4,Off,4
Karen13,Def,7,Danny19,na,9
Max14,Off,5,Michael7,na,8
Tom11,na,3,Khoman 6,Def,6
Jose15,Def,8,Jessica10,Off,7
Joeseph9,Def,7,Jonathan5,Def,9
Score,,0,,,0
,,,,,
Game ID: ,1074,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,John4,Off,4
Karen13,Def,7,Danny19,na,9
Max14,Off,5,Michael7,na,8
Tom11,na,3,Khoman 6,Def,6
Jose15,Def,8,Jessica10,Off,7
Joeseph9,Def,7,Jonathan5,Def,9
Score,,0,,,1
,,,,,
Game ID: ,1075,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Danny19,na,9
Jonathan5,Def,9,Khoman 6,Def,6
Marcus17,Def,4,John4,Off,4
Alex2,Off,3,Jeffrey1,Off,7
Karen13,Def,7,Chris20,Def,3
Tom11,na,3,Sherman12,Def,5
Score,,0,,,0
,,,,,
Game ID: ,1076,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Danny19,na,9
Jonathan5,Def,9,Khoman 6,Def,6
Marcus17,Def,4,John4,Off,4
Alex2,Off,3,Jeffrey1,Off,7
Karen13,Def,7,Chris20,Def,3
Tom11,na,3,Sherman12,Def,5
Score,,0,,,0
,,,,,
Game ID: ,1077,,,,
player id,position,Rating,player id,position,Rating
Khoman 6,Def,6,Karen13,Def,7
Ryan18,na,5,Jeffrey1,Off,7
Martin16,Off,6,Max14,Off,5
Tom11,na,3,Marcus17,Def,4
Score,,0,,,1
,,,,,
Game ID: ,1078,,,,
player id,position,Rating,player id,position,Rating
Khoman 6,Def,6,Karen13,Def,7
Ryan18,na,5,Jeffrey1,Off,7
Martin16,Off,6,Max14,Off,5
Tom11,na,3,Marcus17,Def,4
Score,,0,,,2
,,,,,
Game ID: ,1079,,,,
player id,position,Rating,player id,position,Rating
Joeseph9,Def,7,Khoman 6,Def,6
Michael7,na,8,Tom11,na,3
Martin16,Off,6,Frank8,Off,9
Karen13,Def,7,Vivien3,Off,8
Sherman12,Def,5,Jonathan5,Def,9
John4,Off,4,Danny19,na,9
Max14,Off,5,,,
Score,,0,,,0
,,,,,
Game ID: ,1080,,,,
player id,position,Rating,player id,position,Rating
Joeseph9,Def,7,Khoman 6,Def,6
Michael7,na,8,Tom11,na,3
Martin16,Off,6,Frank8,Off,9
Karen13,Def,7,Vivien3,Off,8
Sherman12,Def,5,Jonathan5,Def,9
John4,Off,4,Danny19,na,9
Max14,Off,5,,,
Score,,0,,,1
,,,,,
Game ID: ,1081,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Michael7,na,8
Alex2,Off,3,Ryan18,na,5
Max14,Off,5,Jessica10,Off,7
Jonathan5,Def,9,Sherman12,Def,5
Tom11,na,3,Frank8,Off,9
Score,,0,,,3
,,,,,
Game ID: ,1082,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Michael7,na,8
Alex2,Off,3,Ryan18,na,5
Max14,Off,5,Jessica10,Off,7
Jonathan5,Def,9,Sherman12,Def,5
Tom11,na,3,Frank8,Off,9
Score,,0,,,3
,,,,,
Game ID: ,1083,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,John4,Off,4
Jeffrey1,Off,7,Michael7,na,8
Marcus17,Def,4,Tom11,na,3
Danny19,na,9,Jonathan5,Def,9
Martin16,Off,6,Jose15,Def,8
Sherman12,Def,5,Ryan18,na,5
Score,,0,,,3
,,,,,
Game ID: ,1084,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,John4,Off,4
Jeffrey1,Off,7,Michael7,na,8
Marcus17,Def,4,Tom11,na,3
Danny19,na,9,Jonathan5,Def,9
Martin16,Off,6,Jose15,Def,8
Sherman12,Def,5,Ryan18,na,5
Score,,0,,,1
,,,,,
Game ID: ,1085,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Ryan18,na,5
Marcus17,Def,4,Frank8,Off,9
Michael7,na,8,Alex2,Off,3
Karen13,Def,7,Khoman 6,Def,6
Joeseph9,Def,7,Sherman12,Def,5
Max14,Off,5,Danny19,na,9
Martin16,Off,6,Jose15,Def,8
Score,,0,,,1
,,,,,
Game ID: ,1086,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Ryan18,na,5
Marcus17,Def,4,Frank8,Off,9
Michael7,na,8,Alex2,Off,3
Karen13,Def,7,Khoman 6,Def,6
Joeseph9,Def,7,Sherman12,Def,5
Max14,Off,5,Danny19,na,9
Martin16,Off,6,Jose15,Def,8
Score,,0,,,0
,,,,,
Game ID: ,1087,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Max14,Off,5
Vivien3,Off,8,Karen13,Def,7
Khoman 6,Def,6,John4,Off,4
Ryan18,na,5,Jessica10,Off,7
Frank8,Off,9,Jose15,Def,8
Tom11,na,3,Marcus17,Def,4
Jeffrey1,Off,7,Danny19,na,9
Sherman12,Def,5,,,
Score,,1,,,0
,,,,,
Game ID: ,1088,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Max14,Off,5
Vivien3,Off,8,Karen13,Def,7
Khoman 6,Def,6,John4,Off,4
Ryan18,na,5,Jessica10,Off,7
Frank8,Off,9,Jose15,Def,8
Tom11,na,3,Marcus17,Def,4
Jeffrey1,Off,7,Danny19,na,9
Sherman12,Def,5,,,
Score,,2,,,0
,,,,,
Game ID: ,1089,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Chris20,Def,3
John4,Off,4,Khoman 6,Def,6
Sherman12,Def,5,Marcus17,Def,4
Karen13,Def,7,Martin16,Off,6
Michael7,na,8,Ryan18,na,5
Jeffrey1,Off,7,Tom11,na,3
Vivien3,Off,8,Jessica10,Off,7
Joeseph9,Def,7,Max14,Off,5
Score,,4,,,0
,,,,,
Game ID: ,1090,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Chris20,Def,3
John4,Off,4,Khoman 6,Def,6
Sherman12,Def,5,Marcus17,Def,4
Karen13,Def,7,Martin16,Off,6
Michael7,na,8,Ryan18,na,5
Jeffrey1,Off,7,Tom11,na,3
Vivien3,Off,8,Jessica10,Off,7
Joeseph9,Def,7,Max14,Off,5
Score,,4,,,0
,,,,,
Game ID: ,1091,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Tom11,na,3
Vivien3,Off,8,Jose15,Def,8
John4,Off,4,Jessica10,Off,7
Sherman12,Def,5,Martin16,Off,6
Score,,0,,,1
,,,,,
Game ID: ,1092,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Tom11,na,3
Vivien3,Off,8,Jose15,Def,8
John4,Off,4,Jessica10,Off,7
Sherman12,Def,5,Martin16,Off,6
Score,,0,,,2
,,,,,
Game ID: ,1093,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Max14,Off,5
Chris20,Def,3,Frank8,Off,9
Ryan18,na,5,Vivien3,Off,8
John4,Off,4,Karen13,Def,7
Tom11,na,3,Jonathan5,Def,9
Jessica10,Off,7,Alex2,Off,3
Sherman12,Def,5,Khoman 6,Def,6
Danny19,na,9,,,
Score,,0,,,2
,,,,,
Game ID: ,1094,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Max14,Off,5
Chris20,Def,3,Frank8,Off,9
Ryan18,na,5,Vivien3,Off,8
John4,Off,4,Karen13,Def,7
Tom11,na,3,Jonathan5,Def,9
Jessica10,Off,7,Alex2,Off,3
Sherman12,Def,5,Khoman 6,Def,6
Danny19,na,9,,,
Score,,0,,,1
,,,,,
Game ID: ,1095,,,,
player id,position,Rating,player id,position,Rating
Jeffrey1,Off,7,Chris20,Def,3
Tom11,na,3,Karen13,Def,7
Jose15,Def,8,Martin16,Off,6
Alex2,Off,3,Sherman12,Def,5
Danny19,na,9,,,
Score,,4,,,0
,,,,,
Game ID: ,1096,,,,
player id,position,Rating,player id,position,Rating
Jeffrey1,Off,7,Chris20,Def,3
Tom11,na,3,Karen13,Def,7
Jose15,Def,8,Martin16,Off,6
Alex2,Off,3,Sherman12,Def,5
Danny19,na,9,,,
Score,,4,,,0
,,,,,
Game ID: ,1097,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Alex2,Off,3
Tom11,na,3,Jonathan5,Def,9
Martin16,Off,6,Ryan18,na,5
Max14,Off,5,Jose15,Def,8
Score,,0,,,2
,,,,,
Game ID: ,1098,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Alex2,Off,3
Tom11,na,3,Jonathan5,Def,9
Martin16,Off,6,Ryan18,na,5
Max14,Off,5,Jose15,Def,8
Score,,0,,,4
,,,,,
Game ID: ,1099,,,,
player id,position,Rating,player id,position,Rating
Max14,Off,5,Sherman12,Def,5
Martin16,Off,6,Jeffrey1,Off,7
Frank8,Off,9,Jessica10,Off,7
John4,Off,4,Alex2,Off,3
Khoman 6,Def,6,Joeseph9,Def,7
Michael7,na,8,Marcus17,Def,4
Karen13,Def,7,Jose15,Def,8
Jonathan5,Def,9,,,
Score,,3,,,0
,,,,,
Game ID: ,1100,,,,
player id,position,Rating,player id,position,Rating
Max14,Off,5,Sherman12,Def,5
Martin16,Off,6,Jeffrey1,Off,7
Frank8,Off,9,Jessica10,Off,7
John4,Off,4,Alex2,Off,3
Khoman 6,Def,6,Joeseph9,Def,7
Michael7,na,8,Marcus17,Def,4
Karen13,Def,7,Jose15,Def,8
Jonathan5,Def,9,,,
Score,,3,,,0
,,,,,
Game ID: ,1101,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Khoman 6,Def,6
Vivien3,Off,8,Sherman12,Def,5
Tom11,na,3,Alex2,Off,3
Jose15,Def,8,John4,Off,4
Score,,3,,,0
,,,,,
Game ID: ,1102,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Khoman 6,Def,6
Vivien3,Off,8,Sherman12,Def,5
Tom11,na,3,Alex2,Off,3
Jose15,Def,8,John4,Off,4
Score,,4,,,0
,,,,,
Game ID: ,1103,,,,
player id,position,Rating,player id,position,Rating
Khoman 6,Def,6,Ryan18,na,5
Jessica10,Off,7,Frank8,Off,9
Danny19,na,9,Alex2,Off,3
Chris20,Def,3,Sherman12,Def,5
Score,,3,,,0
,,,,,
Game ID: ,1104,,,,
player id,position,Rating,player id,position,Rating
Khoman 6,Def,6,Ryan18,na,5
Jessica10,Off,7,Frank8,Off,9
Danny19,na,9,Alex2,Off,3
Chris20,Def,3,Sherman12,Def,5
Score,,2,,,0
,,,,,
Game ID: ,1105,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Sherman12,Def,5
Khoman 6,Def,6,Jose15,Def,8
John4,Off,4,Jessica10,Off,7
Tom11,na,3,Marcus17,Def,4
Karen13,Def,7,Martin16,Off,6
Jonathan5,Def,9,Alex2,Off,3
Danny19,na,9,Joeseph9,Def,7
Jeffrey1,Off,7,Ryan18,na,5
Score,,0,,,0
,,,,,
Game ID: ,1106,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Sherman12,Def,5
Khoman 6,Def,6,Jose15,Def,8
John4,Off,4,Jessica10,Off,7
Tom11,na,3,Marcus17,Def,4
Karen13,Def,7,Martin16,Off,6
Jonathan5,Def,9,Alex2,Off,3
Danny19,na,9,Joeseph9,Def,7
Jeffrey1,Off,7,Ryan18,na,5
Score,,2,,,0
,,,,,
Game ID: ,1107,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Joeseph9,Def,7
Jonathan5,Def,9,Jessica10,Off,7
Alex2,Off,3,John4,Off,4
Marcus17,Def,4,Danny19,na,9
Score,,0,,,1
,,,,,
Game ID: ,1108,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Joeseph9,Def,7
